TIME(10ms),JKA01\JKA01\CTEC_ATAG0@Out.Val(1#核功率),JKA02\JKA01\CTEC_ATAG0@Out.Val(2#核功率),N00\JEG\CTEC_ATAG0@Out.Val(1#一回路压力),N00\JEG\CTEC_ATAG1@Out.Val(2#一回路压力),N00\HEC01\CTEC_ATAG0@Out.Val(1#一回路流量),N20\HEC02\CTEC_ATAG0@Out.Val(2#一回路流量),N00\HEC01\CTEC_ATAG3@Out.Val(1#氦风机转速),N20\HEC02\CTEC_ATAG3@Out.Val(2#氦风机转速),N00\HEC01\CTEC_ATAG1@Out.Val(1#热氦温度),N20\HEC02\CTEC_ATAG1@Out.Val(2#热氦温度),N00\HEC01\CTEC_ATAG2@Out.Val(1#冷氦温度),N20\HEC02\CTEC_ATAG2@Out.Val(2#冷氦温度),N00\HEC01\CTEC_ATAG5@Out.Val(1#热功率),N20\HEC02\CTEC_ATAG5@Out.Val(2#热功率),T00\LBA002\CTEC_ATAG0@Out.Val(1#SG出口温度),T00\LBA003\CTEC_ATAG0@Out.Val(2#SG出口温度),T00\LBA002\1LBA10CP801A@Out.Val(1#SG出口压力),T00\LBA003\2LBA10CP801A@Out.Val(2#SG出口压力),T00\LBA002\1LAB10CF001@Out.Val(1#给水流量),T00\LBA003\2LAB10CF001@Out.Val(2#给水流量),T00\LAB001\CTEC_ATAG23@Out.Val(1#给水温度),T00\LAB001\CTEC_ATAG25@Out.Val(2#给水温度),T00\LBA001\CTEC_ATAG10@Out.Val(蒸汽母管温度),T00\LBA001\CTEC_ATAG9@Out.Val(蒸汽母管压力),T00\LBA001\CTEC_ATAG26@Out.Val(主蒸汽流量),E00\GEN\CTEC_ATAG0@Out.Val(发电机功率),E00\GEN\CTEC_ATAG1@Out.Val(汽轮机转速)
27814,186.0085,186.0017,7.005618,6.982318,129.9997,130.0013,3876.862,3887.925,556.9197,557.3262,264.4447,264.5042,202.8169,203.0833,519.9125,520.7545,11.03724,11.03733,78.03034,78.18215,191.9996,191.9973,520.1883,11.00402,156.2436,169.7056,3000
27848,186.0086,186.0019,7.005616,6.982319,129.9983,130.0028,3876.874,3887.908,556.9196,557.3262,264.4442,264.5045,202.8332,203.1018,519.9103,520.7545,11.03703,11.03713,78.29185,78.16018,191.9981,191.9973,520.1868,11.00382,156.2398,169.7033,3000
27881,186.0084,186.0016,7.005616,6.982316,130.0005,130.0024,3876.906,3887.883,556.9193,557.3262,264.4424,264.5045,202.8271,203.051,519.9093,520.7549,11.03696,11.03706,78.30165,78.14925,191.9977,191.9974,520.186,11.00375,156.2376,169.7003,3000
27913,186.0086,186.0022,7.005615,6.982314,130.0013,130.0022,3876.902,3887.866,556.9194,557.326,264.441,264.5042,202.7829,203.047,519.9088,520.7556,11.03698,11.03705,78.03347,78.10284,191.9985,191.9976,520.1858,11.00375,156.2374,169.7,3000
27947,186.0085,186.0014,7.005613,6.982312,130.0012,129.9988,3876.892,3887.857,556.9194,557.3259,264.4396,264.5032,202.7592,203.041,519.9081,520.7562,11.03697,11.03704,77.97822,78.1578,191.9992,191.9976,520.1855,11.00374,156.2374,169.7,3000
27980,186.0085,186.002,7.005612,6.982311,130.0004,129.9985,3876.885,3887.876,556.9194,557.3259,264.4385,264.5031,202.7915,203.0383,519.9077,520.7563,11.03691,11.03699,77.98317,78.14167,191.9996,191.9976,520.1851,11.00369,156.237,169.6994,3000
28013,186.0084,186.0017,7.005616,6.982313,129.9993,129.9978,3876.898,3887.893,556.9196,557.3259,264.4381,264.5035,202.8209,203.043,519.9069,520.7566,11.03679,11.03689,77.79529,78.19238,192.0006,191.9973,520.1844,11.00358,156.2355,169.6986,3000
28047,186.0086,186.0025,7.005619,6.982314,130.001,129.9984,3876.905,3887.911,556.9198,557.326,264.439,264.5042,202.813,203.0123,519.9059,520.7566,11.0366,11.03673,77.70103,78.30666,192.0015,191.9969,520.1837,11.0034,156.2328,169.6976,3000
28079,186.0086,186.0023,7.005618,6.982315,130.0019,129.9984,3876.897,3887.927,556.9198,557.3259,264.4406,264.5062,202.7775,203.0174,519.9047,520.7565,11.03642,11.0366,77.74249,78.33855,192.0016,191.9964,520.1833,11.00325,156.2301,169.6954,3000
28112,186.0087,186.0021,7.005615,6.982316,130.0017,129.9981,3876.883,3887.934,556.92,557.3258,264.4424,264.507,202.7289,203.0382,519.9037,520.7566,11.03624,11.03647,77.8168,78.29028,192.0014,191.9965,520.183,11.0031,156.2275,169.6941,3000
28144,186.0085,186.0018,7.005613,6.982317,130.0005,129.9983,3876.873,3887.941,556.9202,557.3258,264.444,264.5076,202.7511,203.0213,519.903,520.7565,11.03601,11.03627,78.00127,78.28559,192.0007,191.9967,520.1823,11.00288,156.224,169.6921,3000
28178,186.008,186.0024,7.005614,6.982323,129.9972,129.999,3876.897,3887.945,556.9206,557.3258,264.4459,264.5081,202.7585,203.0536,519.9031,520.7565,11.03592,11.0362,78.01686,78.23521,192.0003,191.9969,520.1819,11.0028,156.2219,169.6904,3000
28211,186.0086,186.0016,7.005616,6.982325,129.998,130.0002,3876.921,3887.936,556.9207,557.3259,264.4463,264.5089,202.7849,203.0529,519.9042,520.7564,11.03585,11.03613,78.11505,78.35767,191.9998,191.9965,520.1821,11.00273,156.2204,169.6883,3000
28244,186.0083,186.0022,7.005617,6.982326,129.9984,130.0015,3876.934,3887.926,556.921,557.326,264.4465,264.5092,202.7466,203.0293,519.9063,520.7563,11.03586,11.03614,78.21806,78.16367,191.9992,191.9971,520.1826,11.00274,156.2199,169.6875,3000
28278,186.0087,186.0018,7.00562,6.982327,129.9982,130.001,3876.948,3887.906,556.9214,557.326,264.4467,264.5096,202.7605,203.0758,519.9091,520.756,11.03596,11.0362,78.04486,78.29227,191.9999,191.9969,520.1837,11.00282,156.2208,169.6875,3000
28310,186.0081,186.0025,7.005624,6.982326,129.9977,130.0002,3876.953,3887.896,556.9216,557.3261,264.4471,264.51,202.7629,203.0963,519.9113,520.7554,11.03601,11.03625,77.91837,78.30222,192.0007,191.9968,520.1843,11.00287,156.2218,169.6878,3000
28343,186.0085,186.002,7.005629,6.982326,129.9987,130.0009,3876.962,3887.895,556.9218,557.3262,264.4481,264.5103,202.724,203.0825,519.9138,520.7543,11.03601,11.03627,77.7404,78.27538,192.0019,191.9968,520.1849,11.00288,156.2225,169.688,3000
28377,186.0082,186.0023,7.005633,6.982325,129.9994,130.0007,3876.961,3887.879,556.9219,557.3264,264.4497,264.5101,202.7498,203.0896,519.9164,520.7523,11.03592,11.03621,77.73103,78.2795,192.0027,191.9968,520.1855,11.0028,156.2217,169.6883,3000
28410,186.0085,186.0019,7.005637,6.982322,129.9991,130.0002,3876.954,3887.876,556.922,557.3264,264.4518,264.5096,202.7248,203.0833,519.9189,520.7496,11.03573,11.03605,77.67828,78.14727,192.0033,191.9973,520.1859,11.00263,156.2193,169.6873,3000
28442,186.008,186.0022,7.005643,6.982317,129.999,130.0003,3876.948,3887.879,556.9221,557.3265,264.4567,264.5089,202.7362,203.0681,519.921,520.7471,11.03551,11.03585,77.62093,78.25752,192.0039,191.9971,520.1854,11.00242,156.2161,169.6858,3000
28476,186.0085,186.0014,7.005646,6.982315,129.998,130.0002,3876.948,3887.88,556.9224,557.3266,264.4591,264.508,202.7531,203.0807,519.923,520.7443,11.03526,11.03561,77.81302,77.97325,192.0033,191.9982,520.1849,11.00218,156.2121,169.684,3000
28509,186.0082,186.002,7.005649,6.982312,129.9981,129.9996,3876.956,3887.89,556.9225,557.3267,264.4611,264.506,202.7636,203.0526,519.9252,520.7402,11.03485,11.03521,77.93379,78.10681,192.0027,191.9982,520.1838,11.00178,156.2056,169.6799,3000
28541,186.0087,186.0016,7.005651,6.98231,129.998,130.0005,3876.961,3887.894,556.9226,557.3268,264.4625,264.505,202.7378,203.0714,519.9275,520.7377,11.03464,11.03499,77.90372,78.14706,192.0027,191.998,520.1833,11.00156,156.2013,169.677,3000
28575,186.008,186.0019,7.005654,6.982309,129.9986,129.9997,3876.966,3887.89,556.9229,557.3267,264.4633,264.5042,202.7672,203.0675,519.9313,520.7336,11.03436,11.03468,77.8353,78.13387,192.0032,191.9979,520.1829,11.00127,156.196,169.6744,3000
28608,186.0085,186.0013,7.005656,6.982306,129.9985,129.9998,3876.966,3887.894,556.9229,557.3268,264.4636,264.5032,202.7645,203.0573,519.9349,520.7306,11.03413,11.03446,77.75961,78.17652,192.0038,191.9977,520.1826,11.00104,156.1916,169.6689,3000
28641,186.0082,186.0019,7.005662,6.982303,129.9983,130.0003,3876.967,3887.897,556.9229,557.3266,264.4638,264.5023,202.7396,203.1054,519.9388,520.7275,11.03392,11.03424,77.86834,78.18382,192.0038,191.9975,520.1827,11.00083,156.188,169.6669,3000
28676,186.0088,186.0013,7.005666,6.982301,129.9968,129.9996,3876.969,3887.894,556.9229,557.3265,264.4643,264.5013,202.7314,203.0809,519.9436,520.7241,11.03365,11.03399,77.79325,78.34474,192.0041,191.9969,520.1829,11.00057,156.1832,169.6647,3000
28706,186.0088,186.0017,7.005672,6.982299,129.9973,130.0012,3876.983,3887.886,556.923,557.3265,264.4654,264.4993,202.6772,203.0775,519.9493,520.7213,11.03345,11.0338,77.90195,78.24731,192.0038,191.997,520.1835,11.00037,156.1793,169.6607,3000
28740,186.0086,186.0013,7.005676,6.982296,129.9974,130.001,3876.991,3887.879,556.9228,557.3264,264.4671,264.4984,202.7128,203.0764,519.9543,520.7191,11.03332,11.03368,78.02313,78.27324,192.0033,191.9969,520.1845,11.00025,156.1767,169.6589,3000
28772,186.0081,186.0017,7.005681,6.982294,129.9961,130.0012,3876.995,3887.874,556.9227,557.3262,264.4694,264.4976,202.7129,203.0999,519.9613,520.7166,11.03325,11.03359,78.16038,78.16178,192.0025,191.9973,520.186,11.00017,156.1745,169.6575,3000
28804,186.0087,186.0013,7.005692,6.982288,129.9971,130.0003,3877.018,3887.869,556.9225,557.326,264.4747,264.4972,202.6728,203.0695,519.9673,520.7151,11.03328,11.03358,78.35747,78.1525,192.0015,191.9977,520.1878,11.00018,156.1741,169.6558,3000
28842,186.008,186.0019,7.005697,6.982286,129.9955,130.0011,3877.021,3887.872,556.9222,557.326,264.4771,264.4971,202.6813,203.0309,519.9756,520.7134,11.03343,11.03369,78.2853,78.20874,192.0014,191.9975,520.1905,11.00031,156.1754,169.6557,3000
28874,186.0085,186.0011,7.005703,6.982284,129.9951,129.9991,3877.035,3887.869,556.9221,557.3258,264.4793,264.4977,202.6724,203.0683,519.9822,520.7119,11.03356,11.03377,78.18568,78.0927,192.002,191.9978,520.1927,11.00041,156.177,169.6561,3000
28903,186.0078,186.0018,7.005711,6.982281,129.9954,129.9997,3877.051,3887.883,556.922,557.3257,264.4814,264.4984,202.6245,203.0912,519.9889,520.7104,11.03368,11.03386,78.15761,78.08286,192.0023,191.998,520.1951,11.00052,156.1786,169.6569,3000
28935,186.0083,186.0014,7.005719,6.98228,129.9955,130,3877.061,3887.888,556.9218,557.3257,264.4835,264.499,202.6528,203.0861,519.9963,520.7089,11.03379,11.03392,78.15555,77.98415,192.0024,191.9985,520.1979,11.00061,156.1803,169.6583,3000
28969,186.0079,186.0019,7.005735,6.982276,129.9951,130.0008,3877.08,3887.89,556.9213,557.3256,264.4879,264.4995,202.6365,203.0862,520.002,520.7076,11.03384,11.03394,78.12927,78.14228,192.0028,191.998,520.2001,11.00064,156.181,169.659,3000
29002,186.0085,186.0016,7.005745,6.982274,129.9964,130.0012,3877.086,3887.884,556.9211,557.3254,264.4903,264.4996,202.674,203.0958,520.007,520.7062,11.03384,11.03394,78.01813,78.16423,192.0034,191.9977,520.202,11.00064,156.1811,169.6593,3000
29034,186.0077,186.0021,7.005753,6.982271,129.9961,130.0013,3877.082,3887.875,556.9211,557.3254,264.4926,264.499,202.6794,203.0438,520.0126,520.7053,11.03385,11.03394,78.15688,78.25267,192.0031,191.9972,520.2043,11.00064,156.1808,169.6594,3000
29068,186.0083,186.0016,7.005761,6.982268,129.9964,130.0011,3877.08,3887.868,556.921,557.3252,264.4947,264.4985,202.7007,203.0721,520.017,520.7051,11.0339,11.034,78.24591,78.26183,192.0024,191.9969,520.207,11.00071,156.1815,169.6596,3000
29104,186.0076,186.0021,7.005769,6.982266,129.9977,129.9996,3877.077,3887.865,556.9207,557.3251,264.4961,264.498,202.6755,203.0576,520.0228,520.7056,11.03403,11.03411,78.30087,78.33997,192.002,191.9964,520.2098,11.00082,156.1827,169.6599,3000
29137,186.0082,186.0016,7.005775,6.982264,129.9977,129.9993,3877.065,3887.875,556.9206,557.3251,264.4967,264.4975,202.6919,203.0735,520.0269,520.7065,11.03422,11.0343,78.22029,78.31908,192.0022,191.9962,520.2126,11.001,156.1849,169.6617,3000
29169,186.0081,186.0022,7.005788,6.982264,129.997,129.9995,3877.051,3887.885,556.9204,557.3251,264.4958,264.4971,202.6717,203.0426,520.03,520.7079,11.03441,11.0345,78.28473,78.4195,192.002,191.9957,520.215,11.00119,156.1877,169.6629,3000
29203,186.0083,186.002,7.005795,6.982264,129.9975,129.9996,3877.05,3887.894,556.9203,557.325,264.4945,264.497,202.7108,203.0428,520.0346,520.7103,11.03472,11.03481,78.21677,78.41034,192.0022,191.9954,520.2185,11.0015,156.1926,169.6649,3000
29235,186.0078,186.0022,7.005801,6.982263,129.9965,129.9993,3877.045,3887.898,556.9202,557.3249,264.493,264.4974,202.7402,203.052,520.0381,520.7124,11.03499,11.0351,78.03784,78.21024,192.003,191.996,520.2217,11.00178,156.1973,169.6695,3000
29268,186.0082,186.0023,7.005808,6.982263,129.9965,129.9996,3877.051,3887.903,556.9199,557.325,264.4915,264.498,202.7524,203.0268,520.0409,520.7139,11.03517,11.03528,78.0541,78.24751,192.0033,191.9961,520.2241,11.00196,156.201,169.672,3000
29302,186.0079,186.0023,7.005816,6.982264,129.9986,130.0001,3877.055,3887.905,556.9198,557.3249,264.4901,264.4988,202.7265,202.9915,520.0441,520.7158,11.03536,11.03549,78.04148,78.24625,192.0034,191.996,520.2274,11.00216,156.2046,169.6745,3000
29334,186.0085,186.0022,7.005824,6.982264,129.9998,129.9994,3877.023,3887.902,556.9195,557.325,264.4883,264.4995,202.7623,203.0302,520.0455,520.7168,11.03543,11.03557,78.01161,78.1349,192.0036,191.9965,520.2288,11.00224,156.2062,169.6772,3000
29367,186.0083,186.0023,7.005827,6.982265,129.9995,129.9988,3877.006,3887.919,556.9194,557.3249,264.4874,264.5006,202.738,203.0657,520.0469,520.7175,11.03545,11.03558,78.01505,77.7893,192.0037,191.9982,520.2303,11.00225,156.2071,169.6785,3000
29401,186.0084,186.0018,7.005838,6.982265,129.9997,130.0012,3876.986,3887.899,556.9193,557.3251,264.4803,264.4996,202.7847,203.0645,520.0487,520.7155,11.03478,11.03482,78.00732,78.08731,192.0034,191.9973,520.2316,11.00154,156.196,169.676,3000
29495,186.0084,186.0018,7.005838,6.982265,129.9997,130.0012,3876.986,3887.899,556.9193,557.3251,264.4803,264.4996,202.7847,203.0645,520.0487,520.7155,11.03478,11.03482,78.00732,78.08731,192.0034,191.9973,520.2316,11.00154,156.196,169.676,3000
29500,186.008,186.0023,7.005838,6.982265,129.9997,130.0012,3876.986,3887.899,556.9193,557.3251,264.4803,264.4996,202.7847,203.0645,520.0488,520.7155,11.03474,11.03478,78.02462,78.14197,192.0033,191.9971,520.2316,11.0015,156.1953,169.676,3000
29533,186.0086,186.0025,7.005839,6.982265,129.9999,130.0003,3876.978,3887.883,556.9193,557.3252,264.4786,264.4972,202.7745,203.0733,520.0491,520.7154,11.03455,11.03461,78.01585,78.18269,192.0033,191.9965,520.2314,11.00133,156.1917,169.672,3000
29566,186.0084,186.0023,7.005839,6.982264,130.0003,130.0014,3876.971,3887.884,556.9193,557.3253,264.4771,264.4958,202.7318,203.0871,520.0494,520.7161,11.03443,11.0345,77.94127,78.32303,192.0037,191.9957,520.2319,11.00121,156.1891,169.6707,3000
29599,186.0087,186.0021,7.00584,6.982263,129.9999,130.0005,3876.961,3887.875,556.9193,557.3254,264.476,264.4942,202.7591,203.095,520.05,520.7172,11.03436,11.03445,77.89701,78.41994,192.004,191.9948,520.2327,11.00115,156.1876,169.67,3000
29633,186.0086,186.0018,7.005841,6.98226,129.999,130,3876.958,3887.875,556.9194,557.3254,264.4752,264.4927,202.7727,203.0781,520.0504,520.7187,11.0343,11.03444,77.87152,78.40556,192.0043,191.9945,520.2334,11.00111,156.1866,169.6689,3000
29665,186.0087,186.0022,7.005847,6.982258,129.9989,130.0006,3876.969,3887.875,556.9196,557.3255,264.4745,264.4914,202.7283,203.0835,520.0508,520.7205,11.03424,11.03442,78.04486,78.29486,192.0036,191.9948,520.2345,11.00108,156.186,169.6687,3000
29698,186.0087,186.0016,7.005849,6.982257,129.9993,130.0006,3876.972,3887.875,556.9196,557.3257,264.4745,264.4908,202.7385,203.0428,520.0519,520.7224,11.03425,11.03444,78.01646,78.09407,192.0035,191.9958,520.2358,11.00109,156.1856,169.6685,3000
29731,186.0085,186.0022,7.005851,6.982255,129.999,130.0004,3876.971,3887.874,556.9198,557.3257,264.4747,264.4918,202.7847,203.0393,520.0529,520.7242,11.03426,11.03446,77.94434,78.11606,192.0037,191.996,520.2369,11.0011,156.1859,169.6689,3000
29764,186.0085,186.0019,7.005853,6.982254,129.9986,129.9993,3876.973,3887.876,556.92,557.3257,264.4748,264.4934,202.7495,203.0764,520.054,520.7253,11.03417,11.03437,78.01726,78.17885,192.0034,191.9958,520.238,11.00102,156.185,169.6688,3000
29797,186.0087,186.0025,7.00586,6.982252,129.9996,129.9992,3876.973,3887.886,556.9205,557.3256,264.4751,264.4953,202.7501,203.011,520.0551,520.7261,11.03406,11.03425,78.23016,78.19852,192.0021,191.9956,520.2391,11.0009,156.1828,169.6684,3000
29830,186.0088,186.0022,7.005863,6.982251,129.9996,129.9989,3876.969,3887.896,556.9208,557.3257,264.4753,264.4993,202.7726,203.0623,520.0566,520.7269,11.03407,11.03424,78.23828,78.12831,192.0018,191.9957,520.24,11.0009,156.1819,169.6668,3000
29863,186.0086,186.0027,7.005867,6.982248,130.0005,129.9991,3876.966,3887.905,556.9211,557.3257,264.4755,264.5008,202.7846,203.0865,520.0592,520.7278,11.03411,11.03425,78.14479,78.15096,192.002,191.9956,520.2418,11.00093,156.1821,169.6669,3000
29896,186.0086,186.002,7.00587,6.982247,130,129.9995,3876.957,3887.911,556.9212,557.3256,264.4761,264.5016,202.7742,203.0802,520.0615,520.7284,11.03416,11.03429,78.10194,78.20163,192.0021,191.9952,520.2432,11.00097,156.1825,169.667,3000
29930,186.0082,186.0023,7.005873,6.982246,130.0005,130.0002,3876.954,3887.911,556.9215,557.3255,264.4768,264.5017,202.7713,203.0958,520.0633,520.729,11.03421,11.03434,78.23051,78.18802,192.0016,191.9952,520.2443,11.00102,156.1831,169.668,3000
29962,186.0088,186.0014,7.00588,6.982243,129.9999,130.0007,3876.944,3887.906,556.9224,557.3253,264.4788,264.5012,202.7253,203.0806,520.0657,520.7293,11.03426,11.03436,78.21543,78.0136,192.0014,191.9958,520.2458,11.00105,156.1838,169.6684,3000
29995,186.0083,186.0018,7.005883,6.982241,129.9984,130.0014,3876.944,3887.899,556.9227,557.3252,264.4799,264.5004,202.7428,203.0824,520.0684,520.73,11.0343,11.03438,78.0321,77.83331,192.0022,191.997,520.2475,11.00109,156.1843,169.6688,3000
30028,186.0087,186.0015,7.005888,6.982239,129.9974,130.0008,3876.957,3887.877,556.9229,557.3251,264.4811,264.4989,202.7517,203.0763,520.07,520.7297,11.03425,11.0343,77.94131,77.78625,192.0026,191.9976,520.2485,11.00102,156.1839,169.6691,3000
30061,186.0083,186.0017,7.005893,6.982237,129.9982,130.0006,3876.975,3887.875,556.9233,557.325,264.4823,264.4983,202.7367,203.0789,520.0709,520.7293,11.03407,11.0341,77.95683,77.86836,192.0028,191.9975,520.2487,11.00083,156.1815,169.6689,3000
30094,186.0089,186.0012,7.005898,6.982235,129.9987,130,3876.983,3887.875,556.9236,557.3247,264.4836,264.4979,202.7227,203.064,520.0711,520.7288,11.03384,11.03386,78.07078,78.01871,192.0023,191.9968,520.2487,11.0006,156.1779,169.6672,3000
30128,186.0086,186.002,7.005906,6.982233,129.9984,130,3876.989,3887.879,556.9244,557.3245,264.4851,264.4977,202.6937,203.0552,520.0715,520.7285,11.03356,11.03357,78.06478,78.0713,192.0021,191.9962,520.2486,11.00031,156.1722,169.6654,3000
30161,186.0088,186.0017,7.005911,6.982232,129.9977,129.9993,3876.992,3887.886,556.9248,557.3243,264.4853,264.4977,202.7313,203.0452,520.0722,520.7289,11.03337,11.03339,77.96989,78.192,192.0023,191.9954,520.2491,11.00013,156.1682,169.6613,3000
30193,186.0083,186.0019,7.005917,6.98223,129.9969,129.999,3877.001,3887.894,556.9253,557.3241,264.4853,264.4975,202.71,203.0476,520.0731,520.7303,11.03325,11.03328,78.07033,78.11225,192.002,191.9954,520.2499,11.00001,156.1658,169.6598,3000
30227,186.0089,186.0014,7.005924,6.982229,129.9979,129.9984,3877.015,3887.903,556.9257,557.324,264.485,264.4973,202.7493,203.0389,520.0738,520.7319,11.03317,11.03321,78.06825,78.10808,192.0018,191.9954,520.2509,10.99994,156.1642,169.6586,3000
30260,186.0082,186.0022,7.00593,6.982229,129.9977,129.998,3877.018,3887.914,556.9263,557.3239,264.4843,264.497,202.77,203.0567,520.0751,520.7342,11.03311,11.03315,78.02749,77.97855,192.0019,191.9961,520.252,10.99988,156.1628,169.6571,3000
30293,186.0086,186.0018,7.005942,6.982231,130.001,129.9986,3877.011,3887.927,556.9273,557.3237,264.4827,264.4969,202.7879,203.0565,520.0759,520.7359,11.03302,11.03306,77.86076,77.84921,192.0026,191.997,520.2529,10.99979,156.1615,169.6567,3000
30326,186.0082,186.0021,7.005945,6.982232,130.0014,130,3876.989,3887.927,556.9278,557.3234,264.482,264.4985,202.7966,203.0399,520.076,520.7372,11.03283,11.03287,77.93227,77.89512,192.0027,191.9971,520.2537,10.9996,156.1589,169.6559,3000
30357,186.0088,186.0021,7.005948,6.982233,130.0018,130.0004,3876.968,3887.92,556.9283,557.3233,264.4815,264.5,202.7964,202.9924,520.076,520.7385,11.03252,11.03255,78.07468,77.95973,192.002,191.9969,520.254,10.99929,156.1536,169.6525,3000
30390,186.0081,186.0023,7.00595,6.982233,130.0019,130.0002,3876.93,3887.911,556.9294,557.3232,264.4812,264.502,202.7769,202.9871,520.0761,520.7399,11.0323,11.03233,78.11124,78.09949,192.0014,191.9962,520.2546,10.99907,156.1493,169.6506,3000
30425,186.0086,186.0022,7.005949,6.982233,130.0012,129.9986,3876.917,3887.906,556.9299,557.3232,264.4812,264.504,202.759,203.0272,520.0766,520.7418,11.03213,11.03215,78.2712,78.23734,192.0005,191.9953,520.2554,10.99889,156.1458,169.6482,3000
30460,186.0086,186.0019,7.005948,6.982234,129.9999,129.9976,3876.914,3887.935,556.9303,557.3228,264.4814,264.5074,202.6973,203.0014,520.0783,520.7449,11.0321,11.03212,78.36978,78.40264,191.9996,191.994,520.2573,10.99886,156.1446,169.6501,3000
30489,186.009,186.0027,7.005947,6.982237,129.9983,129.9973,3876.922,3887.947,556.9308,557.3229,264.4815,264.5085,202.7153,203.0173,520.0802,520.7478,11.03224,11.03227,78.49518,78.40855,191.9987,191.9936,520.2594,10.999,156.1457,169.6489,3000
30527,186.0087,186.0025,7.005948,6.982239,129.996,129.9968,3876.941,3887.958,556.9312,557.3227,264.4816,264.5093,202.7305,203.0375,520.0838,520.7527,11.0326,11.03263,78.31405,78.32558,191.9989,191.9936,520.2631,10.99936,156.1506,169.6495,3000
30559,186.0093,186.0022,7.005955,6.982244,129.9957,129.9979,3877.011,3887.972,556.9321,557.3227,264.4819,264.5099,202.7194,203.0047,520.0866,520.7568,11.03292,11.03295,78.21549,78.21417,191.9994,191.9942,520.2667,10.99968,156.1557,169.6535,3000
30592,186.009,186.0016,7.005959,6.982248,129.997,129.9981,3877.033,3887.974,556.9323,557.3226,264.4824,264.5105,202.7501,203.0041,520.0902,520.7618,11.0333,11.03333,78.19782,78.27428,191.9996,191.9941,520.2709,11.00006,156.1609,169.6523,3000
30622,186.009,186.0018,7.005961,6.982252,129.9983,129.9989,3877.04,3887.969,556.9326,557.3221,264.4832,264.5126,202.7495,203.0128,520.093,520.7664,11.0336,11.03364,78.1591,78.16541,191.9996,191.9946,520.2749,11.00036,156.1664,169.6556,3000
30654,186.009,186.0012,7.005965,6.982255,130,130,3877.034,3887.963,556.9329,557.3221,264.4842,264.5142,202.6932,203.0149,520.0949,520.7695,11.0338,11.03384,78.18797,78.10831,191.9994,191.9949,520.2776,11.00056,156.1702,169.6609,3000
30692,186.0091,186.0013,7.005967,6.982259,130.001,129.9995,3877.016,3887.949,556.933,557.322,264.4853,264.516,202.7464,203.0241,520.0967,520.7725,11.03394,11.03396,78.23113,78.1104,191.9991,191.9951,520.2806,11.00069,156.1731,169.6632,3000
30720,186.0089,186.001,7.00597,6.982264,130,129.9991,3876.986,3887.943,556.9333,557.322,264.4868,264.5177,202.7668,203.023,520.0978,520.7744,11.03401,11.03403,78.25323,78.13754,191.9988,191.9951,520.2825,11.00076,156.1744,169.6645,3000
30758,186.0088,186.0016,7.005972,6.982266,130.0005,129.9993,3876.979,3887.937,556.9335,557.3218,264.487,264.5197,202.7142,203.0418,520.0993,520.777,11.03414,11.03416,78.1576,78.38592,191.9989,191.9938,520.2852,11.00089,156.1763,169.6666,3000
30787,186.0081,186.0011,7.005972,6.982268,130.0003,129.9986,3876.969,3887.935,556.9334,557.3218,264.4866,264.5197,202.7461,203.0043,520.1008,520.7798,11.03427,11.03431,78.07525,78.36954,191.9993,191.9932,520.2877,11.00103,156.1783,169.6681,3000
30824,186.0085,186.0019,7.005971,6.982268,129.9986,129.9983,3876.962,3887.939,556.9336,557.3218,264.4856,264.5191,202.7551,203.0069,520.1019,520.7818,11.03439,11.03446,77.99604,78.31381,191.9996,191.9933,520.2895,11.00117,156.1802,169.669,3000
30853,186.0085,186.0012,7.005975,6.982271,129.9984,129.9977,3876.984,3887.944,556.9333,557.3217,264.4825,264.5181,202.7811,203.0552,520.1031,520.7841,11.03454,11.03461,77.91666,78.21127,192.0002,191.9939,520.2921,11.00132,156.1831,169.6723,3000
30889,186.0088,186.0016,7.005977,6.982273,129.9981,129.9986,3876.991,3887.967,556.9333,557.3214,264.4807,264.5153,202.805,203.0063,520.1036,520.7859,11.03454,11.03466,77.7726,78.22318,192.0009,191.9938,520.2935,11.00135,156.1842,169.6741,3000
30923,186.0088,186.0013,7.00598,6.982276,129.9996,129.9985,3876.999,3887.964,556.9332,557.3214,264.4791,264.5139,202.8017,203.0278,520.1036,520.7872,11.03446,11.03461,77.79295,78.1507,192.0011,191.9939,520.2948,11.00128,156.1836,169.6748,3000
30957,186.0086,186.002,7.005981,6.982279,130.0016,129.9982,3876.992,3887.963,556.9331,557.3212,264.4777,264.5128,202.8263,203.0486,520.1031,520.7877,11.03423,11.03446,77.78586,77.99693,192.0012,191.9948,520.2953,11.00107,156.1805,169.6743,3000
30989,186.0085,186.002,7.005979,6.982284,130.0031,129.9994,3876.948,3887.965,556.9328,557.3212,264.475,264.5121,202.8364,203.0508,520.1026,520.787,11.03396,11.03417,77.8088,77.92474,192.0011,191.9953,520.2949,11.00081,156.1768,169.6814,3000
31022,186.0088,186.0018,7.005976,6.982286,130.003,129.9998,3876.923,3887.957,556.9325,557.321,264.4736,264.5118,202.8574,203.0327,520.102,520.7863,11.03365,11.03386,77.8725,77.97262,192.0007,191.9952,520.2944,11.00051,156.173,169.6759,3000
